41088103Y;Laura;Alamo Rodriguez;Calleja, 25;Alcorc¢n;916549684;Madrid;5.5
16163438G;Jorge;Aragones Escribano;Posada, 45;Teruel;604785324;Teruel;8.2
46472481G;Jaime;Benart Lorenzo;Ejercito, 27;Alovera;665845126;Guadalajara;9.25
83119713J;Sofia;Beriyan Rosales;Avd. Prado, 2;Salamanca;919645465;Salamanca;3.24
Y9400604N;Luisa;Boadella Mercero;Pe¤arroya, 34;Madrid;916541565;Madrid;9.5
Z2193559P;Javier;Diaz Melero;Laguna, 45;Torremolinos;667654654;Malaga;3.5
48700227G;Sonia;Escribano Lopez;Cuesta, 56;Toledo;687654654;Toledo;3.9
Y7814338P;Alicia;Forner Forner;Moscu, 32;Illescas;942654694;Toledo;4.3
Z3733799F;Jose;Gonzalez Mariano;Alpedrete, 1;Toledo;941654654;Toledo;4.7
90253993S;Juan;Jurado Boadella;Matadero, 34;Soria;953654544;Soria;5.1
88801911S;Pedro;Lopez Martos;Cadiz, 34;Medinaceli;626544141;Soria;5.5
94763326Z;Ivanka;Lorenzo Saries;Martorell, 34;Medinaceli;626544165;Soria;5.9
20249604J;Emilia;Mariano Vazquez;Benavides, 23;Soria;952654564;Soria;6.3
Y8036912J;Elvira;Martos Benart;Plaza Real, 23;Aranda de Duero;635645655;Soria;6.7
31702688V;Carlos;Melero Ruiz;Eslovaquia, 12;Soria;669654146;Soria;7.1
Y4544070D;Victor;Mercero Alamo;Mineria, 32;Oviedo;985546565;Asturias;7.5
28126845F;Antonio;Mi¤o Diaz;Astorga, 12;Llanes;986964565;Asturias;7.9
Z5445392D;Almudena;Moles Santos;Ferrocarril, 2;Gijon;695191496;Asturias;8.3
06830296D;Francisco;Quintana Moles;Cantabria, 34;Gijon;565461544;Asturias;8.7
Z0256271X;Oscar;Rodriguez Quintana;Austrias, 45;Madrid;919832165;Madrid;9.1
97012757E;Monica;Rosales Santos;Vinateros, 12;Alcobendas;916655285;Madrid;9.5
81789624Z;Enrique;Rubio Rubio;La Estrella, 9;Madrid;636546544;Madrid;9.9
39085760C;Felix;Ruiz Aragones;Usera, 56;Madrid;916546541;Madrid;4.3
X1572360B;Sergio;Sanchez Sanchez;Puerta Sol, 12;Madrid;636584654;Madrid;4.7
65469395V;Rafael;Santos Mi¤o;Albarracin, 6;Jaen;953654647;Jaen;5.1
83912871V;Camilo;Santos Beriyan;Granadero, 56;Linares;665416441;Jaen;6.7
86007729B;Arancha;Sanz Yuste;Albufera, 3;Valencia;946519441;Valencia;7.1
44386720D;Patricia;Saries Sanz;Conseller, 2;Valencia;395654654;Valencia;7.5
X0158259L;Luis;Vazquez Gonzalez;Pallarols, 67;Valencia;623165643;Valencia;7.9
51102012Z;Samuel;Yuste Jurado;Alborada, 12;Valencia;696546518;Valencia;8.3
